Vout_tran X,Vout_tran Y
0,1.259923457422503
2e-08,1.259877974369587
6.000000000000001e-08,1.259820326532538
1.4e-07,1.259761014103485
3.000000000000001e-07,1.259761672164698
6.200000000000002e-07,1.259761521431207
1.02e-06,1.259761584432721
1.42e-06,1.259761686168368
1.82e-06,1.259761478684823
2.22e-06,1.259761751705038
2.62e-06,1.259761440150632
3e-06,1.259761772405368
3.0025e-06,1.274913448322535
3.00625e-06,1.309608592191037
3.01e-06,1.361095398218519
3.012092469327552e-06,1.382011882909913
3.015257105618838e-06,1.404808370689834
3.01882871338475e-06,1.414835969552665
3.024038741365331e-06,1.415734171889383
3.028064430207448e-06,1.4110032940026
3.03414664979843e-06,1.400954547680594
3.041273231466503e-06,1.38783636293772
3.054157226445538e-06,1.364900769886481
3.064463223234416e-06,1.348242156041583
3.075401823141514e-06,1.332230668147646
3.085912549011161e-06,1.318218166106662
3.097590537692573e-06,1.304050048645373
3.100204711334399e-06,1.301088261492052
3.105433058618052e-06,1.295608044194791
3.110391898069522e-06,1.291108182525273
3.11572856970661e-06,1.286996742356741
3.120789023080657e-06,1.283654073977836
3.130909929828753e-06,1.278194792803696
3.142680933423509e-06,1.273427382109715
3.162624467281131e-06,1.267960716179303
3.188129993674852e-06,1.264021489734201
3.237396410986539e-06,1.260872487873766
3.287937162392956e-06,1.260136354677697
3.377338412238882e-06,1.259924353886454
3.492325760438516e-06,1.259939153065148
3.722300456837783e-06,1.259935350153853
3.996110939131398e-06,1.259934868048913
4.396110939131399e-06,1.259936233264567
4.796110939131399e-06,1.259936441745392
5.196110939131399e-06,1.259936572247629
5.5961109391314e-06,1.259936613887184
5.8030554695657e-06,1.259936760074124
6.01e-06,1.259936743705389
6.0125e-06,1.242333212848123
6.01625e-06,1.201792576035597
6.02e-06,1.142627956566151
6.021895100002976e-06,1.120805128479674
6.024897908009783e-06,1.096540659759411
6.027777466331117e-06,1.08819815010759
6.032056890537145e-06,1.08835687716667
6.035903435109846e-06,1.094397422134181
6.041691290545935e-06,1.106295128319549
6.04912516704941e-06,1.122302188391985
6.059289257645575e-06,1.142740597967827
6.069096146256742e-06,1.160598375507192
6.078949763024624e-06,1.176941277053078
6.089495984260419e-06,1.192920442427801
6.101072171514261e-06,1.208906744872879
6.104145235067405e-06,1.212902672296074
6.105681766843977e-06,1.214865024028416
6.108754830397121e-06,1.218719286682646
6.10969377156097e-06,1.219877976958665
6.111571653888668e-06,1.222166144136262
6.113745109479591e-06,1.224759600925826
6.114239674370061e-06,1.225340740902512
6.115228804151001e-06,1.226491266096171
6.116201450531954e-06,1.227601843668563
6.117021570773072e-06,1.228510143616731
6.117760144385577e-06,1.229293805570161
6.118045114348368e-06,1.229586496039805
6.11861505427395e-06,1.230157215385662
6.119754934125113e-06,1.231243546467974
