Loop Gain dB20 X,Loop Gain dB20 Y
1,86.22246418616156
1.584893192461114,86.2223091427955
2.511886431509581,86.22191971598953
3.981071705534974,86.22094167386717
6.309573444801934,86.21848591419851
10,86.21232344287712
15.84893192461114,86.19688247380033
25.11886431509581,86.15833694319191
39.81071705534975,86.06299752739977
63.09573444801936,85.83235930030008
100.0000000000001,85.30189373571997
158.4893192461115,84.19998836218959
251.1886431509582,82.2606845176916
398.1071705534976,79.4624470333747
630.9573444801939,76.05187338573847
1000.000000000001,72.31076277968387
1584.893192461115,68.4182823763892
2511.886431509583,64.46183846177989
3981.071705534978,60.47930028735311
6309.573444801941,56.48627037397827
10000.00000000001,52.48904537161737
15848.93192461116,48.49014317468747
25118.86431509584,44.49056161238599
39810.71705534979,40.49068127609815
63095.73444801944,36.49061103270889
100000.0000000002,32.49028697518803
158489.3192461117,28.48941433015234
251188.6431509586,24.48719973782815
398107.1705534981,20.48163260695431
630957.3444801947,16.46767627028933
1000000.000000002,12.43281436153744
1584893.192461117,8.346457735391008
2511886.431509587,4.136813683924728
3981071.705534983,-0.3491162801010541
6309573.44480195,-5.373400698797174
10000000.00000003,-11.21513966039008
15848931.92461118,-17.93361399814284
25118864.31509588,-25.30906922672245
39810717.05534985,-33.07248092886341
63095734.44801953,-41.07316847728396
100000000.0000003,-49.25910534707156
158489319.2461119,-57.57631086266734
251188643.1509589,-66.01534168465811
398107170.5534986,-74.90688166297574
630957344.4801955,-85.32354423192254
1000000000.000004,-98.75090689892565
1584893192.461119,-108.707541677122
2511886431.50959,-111.1999936266626
3981071705.534988,-114.3101893532065
6309573444.801957,-117.9506985554231
10000000000,-121.8066026141217
