Loop Gain dB20 X,Loop Gain dB20 Y
1,75.64534946802499
1.584893192461114,75.64533122225289
2.511886431509581,75.64528539127545
3.981071705534974,75.64517027120795
6.309573444801934,75.64488111614236
10,75.64415487634373
15.84893192461114,75.64233117995745
25.11886431509581,75.63775363664234
39.81071705534975,75.6262766037633
63.09573444801936,75.59758067307843
100.0000000000001,75.52632512915386
158.4893192461115,75.35233201806429
251.1886431509582,74.94375633820393
398.1071705534976,74.06048881697888
630.9573444801939,72.41022227965442
1000.000000000001,69.87179582234282
1584.893192461115,66.6252845877742
2511.886431509583,62.96585997931047
3981.071705534978,59.10924465954437
6309.573444801941,55.16767108530249
10000.00000000001,51.1911514394173
15848.93192461116,47.20053420391814
25118.86431509584,43.204274250887
39810.71705534979,39.20576170619962
63095.73444801944,35.20634803296699
100000.0000000002,31.20656644984242
158489.3192461117,27.20661566193698
251188.6431509586,23.20654044519288
398107.1705534981,19.20627236205666
630957.3444801947,15.20556752485018
1000000.000000002,11.20378495542894
1584893.192461117,7.199305169482049
2511886.431509587,3.188068219878545
3981071.705534983,-0.8400472036785983
6309573.44480195,-4.90997885207605
10000000.00000003,-9.08144179048538
15848931.92461118,-13.48799590274565
25118864.31509588,-18.38579441970676
39810717.05534985,-24.13456816444941
63095734.44801953,-31.02331935048852
100000000.0000003,-39.12915749193733
158489319.2461119,-48.38847307306747
251188643.1509589,-58.66349066466375
398107170.5534986,-69.86639465886208
630957344.4801955,-82.49253986296179
1000000000.000004,-97.67207274304707
1584893192.461119,-108.6480298006692
2511886431.50959,-111.3219804066369
3981071705.534988,-114.4123883703161
6309573444.801957,-118.0095478713201
10000000000,-121.8403710729346
