Loop Gain Phase X,Loop Gain Phase Y
1,179.7149182279531
1.584893192461114,179.5481814770927
2.511886431509581,179.2839383379641
3.981071705534974,178.865208060624
6.309573444801934,178.201831369726
10,177.1515078441485
15.84893192461114,175.4910521090219
25.11886431509581,172.8759508092294
39.81071705534975,168.7956347421281
63.09573444801936,162.570688903287
100.0000000000001,153.5466024959152
158.4893192461115,141.7409840325672
251.1886431509582,128.6633608004435
398.1071705534976,116.7856618941723
630.9573444801939,107.6671476811898
1000.000000000001,101.3620483785681
1584.893192461115,97.22414805634095
2511.886431509583,94.56992036963241
3981.071705534978,92.88267888722051
6309.573444801941,91.81273973099816
10000.00000000001,91.13283975359164
15848.93192461116,90.69715150690632
25118.86431509584,90.4118652886841
39810.71705534979,90.21546069951592
63095.73444801944,90.065558496473
100000.0000000002,89.92980601718737
158489.3192461117,89.77890234063284
251188.6431509586,89.58027662406587
398107.1705534981,89.29106167982188
630957.3444801947,88.84885508454084
1000000.000000002,88.15830485591808
1584893.192461117,87.07074729474036
2511886.431509587,85.3529890861071
3981071.705534983,82.64041063013171
6309573.44480195,78.37165392640814
10000000.00000003,71.7179344033145
15848931.92461118,61.57987460078022
25118864.31509588,46.85668851430784
39810717.05534985,27.1492387579368
63095734.44801953,3.085629966205452
100000000.0000003,-25.00644165922019
158489319.2461119,-58.16009994494869
251188643.1509589,-97.49466956679179
398107170.5534986,-143.044558295323
630957344.4801955,-193.1351389010393
1000000000.000004,-235.6815612244488
1584893192.461119,-251.0292618215117
2511886431.50959,-284.5730571281275
3981071705.534988,-330.8539363333543
6309573444.801957,-369.2934561707957
10000000000,-397.0669842966403
