Iload X,Iload Y
0,0.009999392519226215
2e-08,0.009999031542615767
6.000000000000001e-08,0.009998574020099507
1.4e-07,0.009998103286535593
3.000000000000001e-07,0.009998108509243635
6.200000000000002e-07,0.009998107312946085
1.02e-06,0.009998107812958101
1.42e-06,0.00999810862038387
1.82e-06,0.00999810697368907
2.22e-06,0.009998109140516175
2.62e-06,0.009998106667862159
3e-06,0.009998109304804508
3.0025e-06,0.008118360700972516
3.00625e-06,0.005393718985643025
3.01e-06,0.002802344430305784
3.012092469327552e-06,0.0029683482770628
3.015257105618838e-06,0.003149272783252651
3.01882871338475e-06,0.003228856901211627
3.024038741365331e-06,0.003235985491185581
3.028064430207448e-06,0.003198438841290473
3.03414664979843e-06,0.003118686886353921
3.041273231466503e-06,0.003014574309029527
3.054157226445538e-06,0.002832545792749845
3.064463223234416e-06,0.002700334571758593
3.075401823141514e-06,0.002573259271013062
3.085912549011161e-06,0.002462048937354461
3.097590537692573e-06,0.002349603560677565
3.100204711334399e-06,0.002326097313428982
3.105433058618052e-06,0.002282603525355486
3.110391898069522e-06,0.002246890337502167
3.11572856970661e-06,0.002214259859974136
3.120789023080657e-06,0.00218773074585584
3.130909929828753e-06,0.002144403117489648
3.142680933423509e-06,0.00210656652468028
3.162624467281131e-06,0.002063180287137323
3.188129993674852e-06,0.00203191658519207
3.237396410986539e-06,0.002006924506934653
3.287937162392956e-06,0.002001082179981725
3.377338412238882e-06,0.001999399634019477
3.492325760438516e-06,0.001999517087818635
3.722300456837783e-06,0.001999486905982964
3.996110939131398e-06,0.001999483079753276
4.396110939131399e-06,0.001999493914798152
4.796110939131399e-06,0.001999495569407876
5.196110939131399e-06,0.001999496605139911
5.5961109391314e-06,0.001999496935612574
5.8030554695657e-06,0.001999498095826385
6.01e-06,0.001999497965915782
6.0125e-06,0.00385978740355685
6.01625e-06,0.006538036317742954
6.02e-06,0.009068475845763107
6.021895100002976e-06,0.008895278797457726
6.024897908009783e-06,0.008702703648884211
6.027777466331117e-06,0.008636493254822143
6.032056890537145e-06,0.008637752993386271
6.035903435109846e-06,0.008685693826461754
6.041691290545935e-06,0.008780120066028166
6.04912516704941e-06,0.008907160225333216
6.059289257645575e-06,0.009069369825141485
6.069096146256742e-06,0.009211098218311047
6.078949763024624e-06,0.009340803786135542
6.089495984260419e-06,0.009467622558950802
6.101072171514261e-06,0.009594497975181575
6.104145235067405e-06,0.009626211684889472
6.105681766843977e-06,0.009641785904987425
6.108754830397121e-06,0.009672375291132107
6.10969377156097e-06,0.009681571245703686
6.111571653888668e-06,0.009699731302668746
6.113745109479591e-06,0.009720314293062108
6.114239674370061e-06,0.0097249265150993
6.115228804151001e-06,0.009734057667429925
6.116201450531954e-06,0.009742871775147327
6.117021570773072e-06,0.009750080504894688
6.117760144385577e-06,0.009756300044207623
6.118045114348368e-06,0.009758622984442893
6.11861505427395e-06,0.009763152503060811
6.119754934125113e-06,0.009771774178317255
6.12173963561808e-06,0.009785520934794064
6.124403617007985e-06,0.009801834648123545
6.128744852169661e-06,0.009824564279761186
6.134242405979748e-06,0.009848584792605725
