Loop Gain dB20 X,Loop Gain dB20 Y
1,84.9656781641099
1.584893192461114,84.9643384783157
2.511886431509581,84.96097516153115
3.981071705534974,84.95253836234571
6.309573444801934,84.93141809052239
10,84.8788150184379
15.84893192461114,84.74942580093627
25.11886431509581,84.44046384161456
39.81071705534975,83.7493719880172
63.09573444801936,82.38364220569468
100.0000000000001,80.13631927291647
158.4893192461115,77.09415465157184
251.1886431509582,73.54323390116606
398.1071705534976,69.73579243241949
630.9573444801939,65.81489219784244
1000.000000000001,61.84678771465376
1584.893192461115,57.85955096353112
2511.886431509583,53.86464240143724
3981.071705534978,49.86667059922971
6309.573444801941,45.8674772918765
10000.00000000001,41.86779594372297
15848.93192461116,37.86791642747947
25118.86431509584,33.867948367046
39810.71705534979,29.86792082511243
63095.73444801944,25.86780874058775
100000.0000000002,21.86751013162157
158489.3192461117,17.86675335687183
251188.6431509586,13.86485032952301
398107.1705534981,9.860072920156075
630957.3444801947,5.848096445590794
1000000.000000002,1.818164706612644
1584893.192461117,-2.256078982409028
2511886.431509587,-6.436891725732946
3981071.705534983,-10.85889367553064
6309573.44480195,-15.75941126975805
10000000.00000003,-21.40145724973937
15848931.92461118,-27.82359645476416
25118864.31509588,-34.6950510856103
39810717.05534985,-41.48288067268923
63095734.44801953,-47.70779414754333
100000000.0000003,-53.22297021798308
158489319.2461119,-58.34450311205218
251188643.1509589,-63.65734367533975
398107170.5534986,-69.89996509726862
630957344.4801955,-78.17598317395773
1000000000.000004,-89.6734548338334
1584893192.461119,-99.75223303371808
2511886431.50959,-104.1450362686577
3981071705.534988,-106.8186224518021
6309573444.801957,-109.2448471290788
10000000000,-112.2079031928583
